Wort,Übersetzung,Plural,Tag,Wortart,Spalte6,Spalte7,Spalte8,Spalte9,Spalte10
"Kleinigkeit, Detail",تَفْصِيل,-,-,Nomen,-,-,-,-,-
Albtraum,كابوس,-,-,Nomen,-,-,-,-,-
Glück,حَظّ,-,-,Nomen,-,-,-,-,-
Verantwortung,مَسْؤُوليّة,-,-,Nomen,-,-,-,-,-
"Ehrlichkeit, Wahrheit",صِدِق,-,-,Nomen,-,-,-,-,-
Wahrheit,حَقِيقَةٌ,-,-,Nomen,-,-,-,-,-
"Unehrlichkeit, Lüge",كِذِب,-,-,Nomen,-,-,-,-,-
Widder (m Schaf),كِبش,-,Tier,Nomen,-,-,-,-,-
Ursache Grund,سَبَب,-,-,Nomen,-,-,-,-,-
Sinn,مَعْنى,-,-,Nomen,-,-,-,-,-
Gesellschaft,مُجْتَمَع,-,-,Nomen,-,-,-,-,-
"Looser, Verlierer,jemand der erfolglos ist","فاشِل, فاشْلة",-,Beleidigung,Nomen,-,-,-,-,-
"Jemand der sich schlecht verhält, gemeine Person","حَقِير,  حَقيرة",-,Beleidigung,Nomen,-,-,-,-,-
"Dienst, Service",خِدمة,-,-,Nomen,-,-,-,-,-
gemeinütziger Dienst,خِدمة مُجْتميعة,-,-,Nomen,-,-,-,-,-